Date,Campaign,ActionKey,Age,Gender,Spend,Impressions
2025-10-14,Impression FB,Unknown,18-24,female,14821,2652
2025-10-14,Impression FB,Unknown,18-24,male,30607,5453
2025-10-14,Impression FB,Unknown,18-24,unknown,1604,286
2025-10-14,Impression FB,Unknown,25-34,female,3284,594
2025-10-14,Impression FB,Unknown,25-34,male,15750,2834
2025-10-14,Impression FB,Unknown,25-34,unknown,488,88
2025-10-14,Impression FB,Unknown,35-44,female,5542,1002
2025-10-14,Impression FB,Unknown,35-44,male,30724,5549
2025-10-14,Impression FB,Unknown,35-44,unknown,256,46
2025-10-14,Visit IG,Unknown,18-24,female,40477,1085
2025-10-14,Visit IG,Unknown,18-24,male,29055,1039
2025-10-14,Visit IG,Unknown,18-24,unknown,1563,61
2025-10-14,Visit IG,Unknown,25-34,female,26009,587
2025-10-14,Visit IG,Unknown,25-34,male,28221,793
2025-10-14,Visit IG,Unknown,25-34,unknown,1019,31
2025-10-14,Visit IG,Unknown,25-34,female,8366,193
2025-10-14,Visit IG,Unknown,25-34,male,9486,304
2025-10-14,Visit IG,Unknown,25-34,unknown,436,10
2025-10-14,Visit IG,Unknown,35-44,female,6190,88
2025-10-14,Visit IG,Unknown,35-44,male,3440,106
2025-10-14,Visit IG,Unknown,35-44,unknown,40,4
2025-10-15,Impression FB,Unknown,18-24,female,9488,1631
2025-10-15,Impression FB,Unknown,18-24,male,21304,3641
2025-10-15,Impression FB,Unknown,18-24,unknown,1108,188
2025-10-15,Impression FB,Unknown,25-34,female,2083,363
2025-10-15,Impression FB,Unknown,25-34,male,9941,1698
2025-10-15,Impression FB,Unknown,25-34,unknown,320,56
2025-10-15,Impression FB,Unknown,35-44,female,2827,491
2025-10-15,Impression FB,Unknown,35-44,male,15645,2673
2025-10-15,Impression FB,Unknown,35-44,unknown,64,11
2025-10-15,Visit IG,Unknown,18-24,female,3138,158
2025-10-15,Visit IG,Unknown,18-24,male,2343,125
2025-10-15,Visit IG,Unknown,18-24,unknown,417,12
2025-10-15,Visit IG,Unknown,25-34,female,1972,56
2025-10-15,Visit IG,Unknown,25-34,male,2196,79
2025-10-15,Visit IG,Unknown,25-34,unknown,39,4
2025-10-15,Visit IG,Unknown,25-34,female,19663,732
2025-10-15,Visit IG,Unknown,25-34,male,21589,1086
2025-10-15,Visit IG,Unknown,25-34,unknown,714,34
2025-10-15,Visit IG,Unknown,35-44,female,11496,341
2025-10-15,Visit IG,Unknown,35-44,male,8223,409
2025-10-15,Visit IG,Unknown,35-44,unknown,166,13
2025-10-15,Mess IG,Unknown,18-24,female,9550,95
2025-10-15,Mess IG,Unknown,18-24,male,6129,98
2025-10-15,Mess IG,Unknown,18-24,unknown,352,6
2025-10-15,Mess IG,Unknown,25-34,female,5043,65
2025-10-15,Mess IG,Unknown,25-34,male,7120,87
2025-10-15,Mess IG,Unknown,25-34,unknown,72,2
2025-10-15,Mess IG,Unknown,35-44,female,669,8
2025-10-15,Mess IG,Unknown,35-44,male,465,8
2025-10-15,Mess IG,Unknown,45-54,female,23,1
2025-10-15,Mess IG,Unknown,45-54,male,47,1
2025-10-15,Mess IG,Unknown,65+,female,51,2
2025-10-15,Mess IG,Unknown,65+,male,639,3
2025-10-15,Mess IG,Unknown,18-24,female,894,10
2025-10-15,Mess IG,Unknown,18-24,male,398,2
2025-10-15,Mess IG,Unknown,18-24,unknown,31,1
2025-10-15,Mess IG,Unknown,25-34,female,119,3
2025-10-15,Mess IG,Unknown,25-34,male,33,2
2025-10-15,Mess IG,Unknown,35-44,female,90,1
2025-10-15,Mess IG,Unknown,18-24,female,271,2
2025-10-15,Mess IG,Unknown,18-24,female,11390,82
2025-10-15,Mess IG,Unknown,18-24,male,4138,46
2025-10-15,Mess IG,Unknown,18-24,unknown,439,5
2025-10-15,Mess IG,Unknown,25-34,female,6148,55
2025-10-15,Mess IG,Unknown,25-34,male,8002,93
2025-10-15,Mess IG,Unknown,25-34,unknown,87,2
2025-10-15,Mess IG,Unknown,35-44,female,734,8
2025-10-15,Mess IG,Unknown,35-44,male,639,10
2025-10-15,Mess IG,Unknown,45-54,male,384,1
2025-10-15,Mess IG,Unknown,65+,male,2947,2
2025-10-15,Mess IG,Unknown,18-24,female,1800,49
2025-10-15,Mess IG,Unknown,18-24,male,656,23
2025-10-15,Mess IG,Unknown,25-34,female,1663,20
2025-10-15,Mess IG,Unknown,25-34,male,1131,14
2025-10-15,Mess IG,Unknown,35-44,female,8,1
2025-10-15,Mess IG,Unknown,35-44,male,58,2
2025-10-15,Mess IG,Unknown,45-54,female,14,1
2025-10-15,Mess IG,Unknown,45-54,male,17,1
2025-10-15,Mess IG,Unknown,65+,female,9,1
2025-10-15,Mess IG,Unknown,18-24,female,3756,95
2025-10-15,Mess IG,Unknown,18-24,male,1885,41
2025-10-15,Mess IG,Unknown,18-24,unknown,47,3
2025-10-15,Mess IG,Unknown,25-34,female,2172,46
