Week,Date,Campaign,AdSet,Ad,Indicator,ActionKey,AmountSpent,Results,CostPerResult,Impressions
,2025-10-14,Impression FB,Mass,ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,reach,reach,103076,18158,"5676,62",18504
,2025-10-14,Visit IG,ITR-2029-BC,CRS_V1_131025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,profile_visit_view,profile_visit_view,126344,62,"2037,81",3596
,2025-10-14,Visit IG,ITR-3039-BC,CRS_V1_131025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,profile_visit_view,profile_visit_view,27958,38,"735,74",705
,2025-10-15,Impression FB,Mass,ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,reach,reach,62780,10548,"5951,84",10752
,2025-10-15,Visit IG,ITR-2029-BC,CRS_V1_131025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,profile_visit_view,profile_visit_view,10105,4,"2526,25",434
,2025-10-15,Visit IG,ITR-3039-BC,CRS_V1_131025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,profile_visit_view,profile_visit_view,61851,18,"3436,17",2615
,2025-10-15,Mess IG,ITR-2045-VN,SGI_V1_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,30160,0,,376
,2025-10-15,Mess IG,ITR-2045-VN,SGI_V2_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,1565,0,,19
,2025-10-15,Mess IG,ITR-2045-VN,SGI_V3_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,271,0,,2
,2025-10-15,Mess IG,ITR-2045-VN,CRS_V1_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,34908,2,17454,304
,2025-10-15,Mess IG,ITR-2045-VN,CRS_V3_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,5356,0,,112
,2025-10-15,Mess IG,ITR-2045-VN,CRS_V4_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,10292,0,,222
,2025-10-15,Mess IG,ITR-2245-BC,SGI_V1_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,31514,1,31514,281
,2025-10-15,Mess IG,ITR-2245-BC,CRS_V4_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,11939,0,,102
,2025-10-15,Mess IG,ITR-2245-BC,CRS_V3_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,24115,0,,219
,2025-10-15,Mess IG,ITR-2245-BC,CRS_V2_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,4385,0,,39
,2025-10-15,Mess IG,ITR-2245-BC,SGI_V3_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,437,0,,9
,2025-10-15,Mess IG,ITR-2245-BC,SGI_V2_141025_ĐỂ HƯƠNG THƠM GỬI TRỌN LỜI YÊU THƯƠNG,actions:onsite_conversion.messaging_conversation_started_7d,onsite_conversion.messaging_conversation_started_7d,95,0,,3
