Date,Campaign,Region,Spend,Impressions,ActionKey
2025-12-14,Impression FB_041125,Ho Chi Minh City,153069,23266,
2025-12-14,Mess FB_051125,Ho Chi Minh City,486508,6581,
2025-12-14,Visit IG_041125,Ho Chi Minh City,320779,9505,
2025-10-14,Impression FB,Bình Dương Province,15201,2728,
2025-10-14,Impression FB,Hanoi,16038,2873,
2025-10-14,Impression FB,Ho Chi Minh City,22121,3942,
2025-10-14,Impression FB,Kiên Giang Province,17766,3224,
2025-10-14,Impression FB,Long An Province,13200,2373,
2025-10-14,Impression FB,Đồng Nai Province,18750,3364,
2025-10-14,Visit IG,An Giang Province,621,30,
2025-10-14,Visit IG,Bà Rịa–Vũng Tàu Province,941,37,
2025-10-14,Visit IG,Bình Dương Province,1852,67,
2025-10-14,Visit IG,Bình Phước Province,320,15,
2025-10-14,Visit IG,Bình Thuận Province,339,21,
2025-10-14,Visit IG,Bình Định Province,462,25,
2025-10-14,Visit IG,Bạc Liêu Province,172,9,
2025-10-14,Visit IG,Bắc Giang Province,467,13,
2025-10-14,Visit IG,Bắc Kạn Province,8,1,
2025-10-14,Visit IG,Bắc Ninh Province,649,30,
2025-10-14,Visit IG,Bến Tre Province,1427,12,
2025-10-14,Visit IG,Cao Bằng Province,11,3,
2025-10-14,Visit IG,Cà Mau Province,139,11,
2025-10-14,Visit IG,Cần Thơ,870,64,
2025-10-14,Visit IG,Da Nang,4199,146,
2025-10-14,Visit IG,Gia Lai Province,238,14,
2025-10-14,Visit IG,Haiphong,1325,63,
2025-10-14,Visit IG,Hanoi,35141,951,
2025-10-14,Visit IG,Ho Chi Minh City,83050,2015,
2025-10-14,Visit IG,Hà Giang Province,63,3,
2025-10-14,Visit IG,Hà Nam Province,367,9,
2025-10-14,Visit IG,Hà Tĩnh Province,573,16,
2025-10-14,Visit IG,Hòa Bình Province,218,13,
2025-10-14,Visit IG,Hưng Yên Province,344,10,
2025-10-14,Visit IG,Hải Dương Province,521,21,
2025-10-14,Visit IG,Hậu Giang Province,103,6,
2025-10-14,Visit IG,Khánh Hòa Province,2190,61,
2025-10-14,Visit IG,Kiên Giang Province,778,31,
2025-10-14,Visit IG,Kon Tum Province,115,3,
2025-10-14,Visit IG,Lai Châu Province,13,1,
2025-10-14,Visit IG,Long An Province,945,24,
2025-10-14,Visit IG,Lào Cai Province,250,12,
2025-10-14,Visit IG,Lâm Đồng Province,597,34,
2025-10-14,Visit IG,Lạng Sơn Province,129,12,
2025-10-14,Visit IG,Nam Định Province,367,16,
2025-10-14,Visit IG,Nghệ An Province,578,31,
2025-10-14,Visit IG,Ninh Bình Province,55,6,
2025-10-14,Visit IG,Ninh Thuận Province,196,9,
2025-10-14,Visit IG,Phú Thọ Province,1137,14,
2025-10-14,Visit IG,Phú Yên Province,122,9,
2025-10-14,Visit IG,Quảng Bình Province,267,12,
2025-10-14,Visit IG,Quảng Nam Province,760,25,
2025-10-14,Visit IG,Quảng Ngãi Province,113,9,
2025-10-14,Visit IG,Quảng Ninh Province,817,35,
2025-10-14,Visit IG,Quảng Trị Province,354,11,
2025-10-14,Visit IG,Sóc Trăng Province,695,13,
2025-10-14,Visit IG,Sơn La Province,144,11,
2025-10-14,Visit IG,Thanh Hóa Province,1170,25,
2025-10-14,Visit IG,Thái Bình Province,357,14,
2025-10-14,Visit IG,Thái Nguyên Province,277,24,
2025-10-14,Visit IG,Thừa Thiên–Huế Province,926,45,
2025-10-14,Visit IG,Tiền Giang Province,1052,24,
2025-10-14,Visit IG,Trà Vinh Province,186,9,
2025-10-14,Visit IG,Tuyên Quang Province,115,7,
2025-10-14,Visit IG,Tây Ninh Province,351,16,
2025-10-14,Visit IG,Unknown,9,1,
2025-10-14,Visit IG,Vĩnh Long Province,395,18,
2025-10-14,Visit IG,Vĩnh Phúc Province,366,16,
2025-10-14,Visit IG,Yên Bái Province,66,5,
2025-10-14,Visit IG,Điện Biên Province,7,1,
2025-10-14,Visit IG,Đắk Lắk Province,521,26,
2025-10-14,Visit IG,Đắk Nông Province,97,4,
2025-10-14,Visit IG,Đồng Nai Province,3152,68,
2025-10-14,Visit IG,Đồng Tháp Province,213,14,
2025-10-15,Impression FB,Bình Dương Province,17885,4162,
2025-10-15,Impression FB,Hanoi,38394,9788,
2025-10-15,Impression FB,Ho Chi Minh City,52340,12737,
2025-10-15,Impression FB,Kiên Giang Province,16854,3809,
2025-10-15,Impression FB,Long An Province,12634,2845,
2025-10-15,Impression FB,Đồng Nai Province,19851,4489,
2025-10-15,Mess FB,An Giang Province,515,7,
2025-10-15,Mess FB,Bà Rịa–Vũng Tàu Province,17424,44,
2025-10-15,Mess FB,Bình Dương Province,5905,41,
2025-10-15,Mess FB,Bình Phước Province,158,3,
2025-10-15,Mess FB,Bình Thuận Province,1053,10,
2025-10-15,Mess FB,Bình Định Province,315,3,
2025-10-15,Mess FB,Bạc Liêu Province,40,1,
2025-10-15,Mess FB,Bắc Giang Province,7,1,
2025-10-15,Mess FB,Bắc Ninh Province,8636,5,
2025-10-15,Mess FB,Bến Tre Province,598,3,
2025-10-15,Mess FB,Cà Mau Province,540,6,
2025-10-15,Mess FB,Cần Thơ,5672,12,
2025-10-15,Mess FB,Da Nang,7320,48,
2025-10-15,Mess FB,Gia Lai Province,203,1,
2025-10-15,Mess FB,Haiphong,2498,16,
2025-10-15,Mess FB,Hanoi,27924,129,
2025-10-15,Mess FB,Ho Chi Minh City,124541,780,
2025-10-15,Mess FB,Hà Nam Province,591,5,
2025-10-15,Mess FB,Hà Tĩnh Province,170,2,
2025-10-15,Mess FB,Hòa Bình Province,1396,8,
2025-10-15,Mess FB,Hưng Yên Province,294,3,
2025-10-15,Mess FB,Hải Dương Province,308,3,
2025-10-15,Mess FB,Khánh Hòa Province,1353,10,
2025-10-15,Mess FB,Kiên Giang Province,2718,15,
2025-10-15,Mess FB,Kon Tum Province,176,3,
2025-10-15,Mess FB,Long An Province,2325,13,
2025-10-15,Mess FB,Lào Cai Province,65,2,
2025-10-15,Mess FB,Lâm Đồng Province,3680,8,
2025-10-15,Mess FB,Lạng Sơn Province,320,2,
2025-10-15,Mess FB,Nam Định Province,1451,4,
2025-10-15,Mess FB,Nghệ An Province,1276,6,
2025-10-15,Mess FB,Phú Thọ Province,1298,6,
2025-10-15,Mess FB,Phú Yên Province,1602,22,
2025-10-15,Mess FB,Quảng Bình Province,227,6,
2025-10-15,Mess FB,Quảng Nam Province,418,5,
2025-10-15,Mess FB,Quảng Ngãi Province,1638,7,
2025-10-15,Mess FB,Quảng Ninh Province,963,4,
2025-10-15,Mess FB,Sóc Trăng Province,1011,6,
2025-10-15,Mess FB,Sơn La Province,1353,3,
2025-10-15,Mess FB,Thanh Hóa Province,1421,14,
2025-10-15,Mess FB,Thái Bình Province,1010,3,
2025-10-15,Mess FB,Thái Nguyên Province,199,1,
2025-10-15,Mess FB,Thừa Thiên–Huế Province,1668,8,
2025-10-15,Mess FB,Tiền Giang Province,1467,9,
2025-10-15,Mess FB,Trà Vinh Province,32,3,
2025-10-15,Mess FB,Tuyên Quang Province,150,2,
2025-10-15,Mess FB,Tây Ninh Province,854,7,
2025-10-15,Mess FB,Vĩnh Long Province,732,8,
2025-10-15,Mess FB,Vĩnh Phúc Province,210,1,
2025-10-15,Mess FB,Yên Bái Province,82,2,
2025-10-15,Mess FB,Điện Biên Province,119,1,
2025-10-15,Mess FB,Đắk Lắk Province,786,5,
2025-10-15,Mess FB,Đồng Nai Province,3397,37,
2025-10-15,Mess FB,Đồng Tháp Province,821,6,
2025-10-15,Mess IG,An Giang Province,704,7,
2025-10-15,Mess IG,Bà Rịa–Vũng Tàu Province,1279,24,
2025-10-15,Mess IG,Bình Dương Province,1322,30,
2025-10-15,Mess IG,Bình Phước Province,64,3,
2025-10-15,Mess IG,Bình Thuận Province,172,4,
2025-10-15,Mess IG,Bình Định Province,598,6,
2025-10-15,Mess IG,Bạc Liêu Province,250,2,
2025-10-15,Mess IG,Bắc Giang Province,72,3,
2025-10-15,Mess IG,Bắc Kạn Province,90,1,
2025-10-15,Mess IG,Bắc Ninh Province,506,5,
2025-10-15,Mess IG,Bến Tre Province,30,2,
2025-10-15,Mess IG,Cao Bằng Province,23,1,
2025-10-15,Mess IG,Cần Thơ,994,10,
2025-10-15,Mess IG,Da Nang,1621,37,
2025-10-15,Mess IG,Gia Lai Province,25,1,
2025-10-15,Mess IG,Haiphong,3584,39,
2025-10-15,Mess IG,Hanoi,37604,365,
2025-10-15,Mess IG,Ho Chi Minh City,98056,986,
2025-10-15,Mess IG,Hà Giang Province,19,1,
2025-10-15,Mess IG,Hà Nam Province,41,1,
2025-10-15,Mess IG,Hà Tĩnh Province,53,2,
2025-10-15,Mess IG,Hòa Bình Province,48,2,
2025-10-15,Mess IG,Hưng Yên Province,645,8,
2025-10-15,Mess IG,Hải Dương Province,88,2,
2025-10-15,Mess IG,Khánh Hòa Province,1445,11,
2025-10-15,Mess IG,Kiên Giang Province,409,11,
2025-10-15,Mess IG,Kon Tum Province,39,1,
2025-10-15,Mess IG,Long An Province,100,4,
2025-10-15,Mess IG,Lâm Đồng Province,388,11,
2025-10-15,Mess IG,Lạng Sơn Province,24,1,
2025-10-15,Mess IG,Nam Định Province,386,5,
2025-10-15,Mess IG,Nghệ An Province,106,5,
2025-10-15,Mess IG,Ninh Bình Province,14,1,
2025-10-15,Mess IG,Ninh Thuận Province,25,2,
2025-10-15,Mess IG,Phú Thọ Province,14,1,
2025-10-15,Mess IG,Phú Yên Province,45,1,
2025-10-15,Mess IG,Quảng Bình Province,189,6,
2025-10-15,Mess IG,Quảng Nam Province,268,7,
2025-10-15,Mess IG,Quảng Ngãi Province,17,1,
2025-10-15,Mess IG,Quảng Ninh Province,564,6,
2025-10-15,Mess IG,Quảng Trị Province,113,3,
2025-10-15,Mess IG,Sóc Trăng Province,21,1,
2025-10-15,Mess IG,Sơn La Province,37,1,
2025-10-15,Mess IG,Thanh Hóa Province,198,6,
2025-10-15,Mess IG,Thái Bình Province,1184,6,
2025-10-15,Mess IG,Thái Nguyên Province,33,2,
2025-10-15,Mess IG,Thừa Thiên–Huế Province,126,5,
2025-10-15,Mess IG,Trà Vinh Province,30,2,
2025-10-15,Mess IG,Tuyên Quang Province,95,3,
2025-10-15,Mess IG,Tây Ninh Province,181,3,
2025-10-15,Mess IG,Vĩnh Long Province,331,1,
2025-10-15,Mess IG,Vĩnh Phúc Province,233,3,
2025-10-15,Mess IG,Đắk Lắk Province,297,6,
2025-10-15,Mess IG,Đắk Nông Province,48,1,
2025-10-15,Mess IG,Đồng Nai Province,1644,30,
2025-10-15,Mess IG,Đồng Tháp Province,180,5,
2025-10-15,Visit IG,An Giang Province,893,48,
2025-10-15,Visit IG,Bà Rịa–Vũng Tàu Province,717,40,
2025-10-15,Visit IG,Bình Dương Province,991,52,
2025-10-15,Visit IG,Bình Phước Province,359,14,
2025-10-15,Visit IG,Bình Thuận Province,474,30,
2025-10-15,Visit IG,Bình Định Province,384,32,
2025-10-15,Visit IG,Bạc Liêu Province,411,9,
2025-10-15,Visit IG,Bắc Giang Province,162,10,
2025-10-15,Visit IG,Bắc Kạn Province,24,1,
2025-10-15,Visit IG,Bắc Ninh Province,793,42,
2025-10-15,Visit IG,Bến Tre Province,181,13,
2025-10-15,Visit IG,Cao Bằng Province,251,8,
2025-10-15,Visit IG,Cà Mau Province,154,12,
2025-10-15,Visit IG,Cần Thơ,936,43,
2025-10-15,Visit IG,Da Nang,2899,153,
2025-10-15,Visit IG,Gia Lai Province,174,14,
2025-10-15,Visit IG,Haiphong,2042,73,
2025-10-15,Visit IG,Hanoi,18454,725,
2025-10-15,Visit IG,Ho Chi Minh City,52320,1585,
2025-10-15,Visit IG,Hà Giang Province,45,4,
2025-10-15,Visit IG,Hà Nam Province,116,9,
2025-10-15,Visit IG,Hà Tĩnh Province,251,16,
2025-10-15,Visit IG,Hòa Bình Province,174,9,
2025-10-15,Visit IG,Hưng Yên Province,384,21,
2025-10-15,Visit IG,Hải Dương Province,1380,26,
2025-10-15,Visit IG,Hậu Giang Province,99,8,
2025-10-15,Visit IG,Khánh Hòa Province,1492,86,
2025-10-15,Visit IG,Kiên Giang Province,654,37,
2025-10-15,Visit IG,Kon Tum Province,199,8,
2025-10-15,Visit IG,Long An Province,494,23,
2025-10-15,Visit IG,Lào Cai Province,292,12,
2025-10-15,Visit IG,Lâm Đồng Province,1439,37,
2025-10-15,Visit IG,Lạng Sơn Province,226,11,
2025-10-15,Visit IG,Nam Định Province,369,8,
2025-10-15,Visit IG,Nghệ An Province,309,17,
2025-10-15,Visit IG,Ninh Bình Province,196,11,
2025-10-15,Visit IG,Ninh Thuận Province,850,15,
2025-10-15,Visit IG,Phú Thọ Province,224,16,
2025-10-15,Visit IG,Phú Yên Province,164,6,
2025-10-15,Visit IG,Quảng Bình Province,344,24,
2025-10-15,Visit IG,Quảng Nam Province,614,38,
2025-10-15,Visit IG,Quảng Ngãi Province,141,12,
2025-10-15,Visit IG,Quảng Ninh Province,550,31,
2025-10-15,Visit IG,Quảng Trị Province,137,9,
2025-10-15,Visit IG,Sóc Trăng Province,150,11,
2025-10-15,Visit IG,Sơn La Province,116,7,
2025-10-15,Visit IG,Thanh Hóa Province,358,21,
2025-10-15,Visit IG,Thái Bình Province,309,21,
2025-10-15,Visit IG,Thái Nguyên Province,1987,30,
